训练开始时间: 2026-06-21 20:19:45
模型: UNet_CBAM
数据目录: data
预训练轮数: 20
预训练任务: rotation
训练轮数: 150
批次大小: 4
学习率: 0.0001
随机种子: 42
DataLoader workers: 0
================================================================================
Epoch	Train_Loss	Val_Loss	ACC		SP		DSC		MIoU
--------------------------------------------------------------------------------
116	0.0308		0.1429		0.9622	0.9836	0.7738	0.7954
117	0.0307		0.1431		0.9622	0.9836	0.7741	0.7956
118	0.0307		0.1437		0.9622	0.9835	0.7738	0.7954
119	0.0307		0.1429		0.9622	0.9836	0.7738	0.7954
120	0.0308		0.1433		0.9622	0.9837	0.7738	0.7954
121	0.0305		0.1431		0.9622	0.9836	0.7739	0.7955
122	0.0307		0.1433		0.9622	0.9836	0.7741	0.7956
123	0.0308		0.1435		0.9622	0.9835	0.7741	0.7956
124	0.0307		0.1431		0.9622	0.9836	0.7738	0.7954
125	0.0309		0.1428		0.9622	0.9836	0.7739	0.7955
126	0.0308		0.1431		0.9622	0.9836	0.7740	0.7955
127	0.0310		0.1433		0.9622	0.9835	0.7741	0.7956
128	0.0307		0.1429		0.9622	0.9836	0.7741	0.7956
129	0.0305		0.1427		0.9622	0.9836	0.7739	0.7955
130	0.0306		0.1430		0.9622	0.9835	0.7741	0.7956
131	0.0308		0.1432		0.9622	0.9835	0.7740	0.7955
132	0.0308		0.1431		0.9622	0.9836	0.7740	0.7956
133	0.0307		0.1428		0.9622	0.9837	0.7738	0.7954
134	0.0306		0.1432		0.9622	0.9837	0.7738	0.7954
135	0.0307		0.1430		0.9623	0.9838	0.7738	0.7955
136	0.0307		0.1430		0.9623	0.9836	0.7742	0.7957
137	0.0306		0.1432		0.9622	0.9836	0.7739	0.7955
138	0.0307		0.1433		0.9623	0.9837	0.7740	0.7956
139	0.0306		0.1432		0.9622	0.9836	0.7742	0.7957
140	0.0305		0.1428		0.9622	0.9838	0.7736	0.7953
141	0.0306		0.1432		0.9622	0.9838	0.7736	0.7953
142	0.0307		0.1431		0.9622	0.9836	0.7737	0.7954
143	0.0308		0.1432		0.9622	0.9836	0.7740	0.7955
144	0.0304		0.1432		0.9622	0.9837	0.7738	0.7955
145	0.0308		0.1429		0.9622	0.9837	0.7738	0.7954
146	0.0305		0.1432		0.9622	0.9837	0.7739	0.7955
147	0.0306		0.1433		0.9622	0.9836	0.7739	0.7955
148	0.0306		0.1432		0.9622	0.9836	0.7740	0.7955
149	0.0306		0.1431		0.9623	0.9837	0.7741	0.7957
150	0.0308		0.1432		0.9623	0.9835	0.7745	0.7959

================================================================================
训练结束时间: 2026-06-21 20:40:10
总训练时间: 0.34 小时
最佳模型在第 26 轮，DSC: 0.7909
================================================================================
